"region","zone","ethnic.group","residence","sex","population"
"dire.dawa","administration","zeyese","rural","m",0
"dire.dawa","administration","zelmam","rural","m",0
"dire.dawa","administration","other.ethiopian.national","rural","m",20
"dire.dawa","administration","from.different.parents","rural","m",11
"dire.dawa","administration","eritrean","rural","m",6
"dire.dawa","administration","djiboutian","rural","m",0
"dire.dawa","administration","somalian","rural","m",0
"dire.dawa","administration","kenyan","rural","m",0
"dire.dawa","administration","sudanese","rural","m",0
"dire.dawa","administration","other.foreigners","rural","m",6
"dire.dawa","administration","affar","rural","f",0
"dire.dawa","administration","agew-awi","rural","f",0
"dire.dawa","administration","agew.hamyra","rural","f",0
"dire.dawa","administration","alaba","rural","f",3
"dire.dawa","administration","amhara","rural","f",83
"dire.dawa","administration","anyiwak","rural","f",9
"dire.dawa","administration","argoba","rural","f",9
"dire.dawa","administration","ari","rural","f",0
"dire.dawa","administration","arborie","rural","f",0
"dire.dawa","administration","bacha","rural","f",0
"dire.dawa","administration","basketo","rural","f",0
"dire.dawa","administration","bench","rural","f",0
"dire.dawa","administration","berta","rural","f",0
"dire.dawa","administration","bodi","rural","f",0
"dire.dawa","administration","brayle","rural","f",0
"dire.dawa","administration","burji","rural","f",0
"dire.dawa","administration","bena","rural","f",0
"dire.dawa","administration","chara","rural","f",0
"dire.dawa","administration","dasenech","rural","f",0
"dire.dawa","administration","dawuro","rural","f",0
"dire.dawa","administration","debase-gewada","rural","f",0
"dire.dawa","administration","derashe","rural","f",0
"dire.dawa","administration","dime","rural","f",0
"dire.dawa","administration","dizi","rural","f",0
"dire.dawa","administration","donga","rural","f",0
"dire.dawa","administration","fedashe","rural","f",0
"dire.dawa","administration","gamo","rural","f",0
"dire.dawa","administration","gebato","rural","f",0
"dire.dawa","administration","gedeo","rural","f",0
"dire.dawa","administration","gedicho","rural","f",0
"dire.dawa","administration","gidole","rural","f",0
"dire.dawa","administration","goffa","rural","f",0
"dire.dawa","administration","gumuz","rural","f",0
"dire.dawa","administration","guragie","rural","f",20
"dire.dawa","administration","guagu","rural","f",0
"dire.dawa","administration","hadiya","rural","f",0
"dire.dawa","administration","hareri","rural","f",0
"dire.dawa","administration","hamer","rural","f",0
"dire.dawa","administration","irob","rural","f",0
"dire.dawa","administration","kefficho","rural","f",0
"dire.dawa","administration","kembata","rural","f",0
"dire.dawa","administration","konta","rural","f",0
"dire.dawa","administration","komo","rural","f",0
"dire.dawa","administration","konso","rural","f",0
"dire.dawa","administration","kore","rural","f",0
"dire.dawa","administration","koyego","rural","f",0
"dire.dawa","administration","kunama","rural","f",0
"dire.dawa","administration","karo","rural","f",0
"dire.dawa","administration","kusumie","rural","f",0
"dire.dawa","administration","malie","rural","f",3
"dire.dawa","administration","mao","rural","f",0
"dire.dawa","administration","mareko","rural","f",0
"dire.dawa","administration","mashola","rural","f",1
"dire.dawa","administration","mere","rural","f",2
"dire.dawa","administration","me-enite","rural","f",0
"dire.dawa","administration","messengo","rural","f",0
"dire.dawa","administration","mejenger","rural","f",0
"dire.dawa","administration","mossiye","rural","f",1
"dire.dawa","administration","mursi","rural","f",2
"dire.dawa","administration","murle","rural","f",0
"dire.dawa","administration","nao","rural","f",0
"dire.dawa","administration","nuwer","rural","f",1
"dire.dawa","administration","nyangatom","rural","f",12
"dire.dawa","administration","oromo","rural","f",39617
"dire.dawa","administration","oida","rural","f",1
"dire.dawa","administration","qebena","rural","f",0
"dire.dawa","administration","qechem","rural","f",0
"dire.dawa","administration","qewama","rural","f",0
"dire.dawa","administration","shekecho","rural","f",0
"dire.dawa","administration","sheko","rural","f",0
"dire.dawa","administration","shinasha","rural","f",0
"dire.dawa","administration","sidama","rural","f",0
"dire.dawa","administration","silte","rural","f",11
"dire.dawa","administration","somalie","rural","f",13562
"dire.dawa","administration","surma","rural","f",1
"dire.dawa","administration","she","rural","f",5
"dire.dawa","administration","tigrie","rural","f",8
"dire.dawa","administration","timebaro","rural","f",0
"dire.dawa","administration","tsemay","rural","f",0
"dire.dawa","administration","upo","rural","f",0
"dire.dawa","administration","welaita","rural","f",0
"dire.dawa","administration","werji","rural","f",0
"dire.dawa","administration","yem","rural","f",0
"dire.dawa","administration","zeyese","rural","f",1
"dire.dawa","administration","zelmam","rural","f",0
"dire.dawa","administration","other.ethiopian.national","rural","f",14
"dire.dawa","administration","from.different.parents","rural","f",11
"dire.dawa","administration","eritrean","rural","f",2
"dire.dawa","administration","djiboutian","rural","f",0
"dire.dawa","administration","somalian","rural","f",0
"dire.dawa","administration","kenyan","rural","f",0
"dire.dawa","administration","sudanese","rural","f",0
"dire.dawa","administration","other.foreigners","rural","f",2
